,index,i,j,elevation,distance,time,origin_x,origin_y,dest_x,dest_y
3276,97430,13,18,4,1578.4,257.1,-46.646300000000004,-23.646399999999996,-46.646300000000004,-23.646399999999996
3277,97434,13,19,4,799.2,131.6,-46.646300000000004,-23.646399999999996,-46.646300000000004,-23.646399999999996
3278,97436,13,19,4,799.2,131.6,-46.646300000000004,-23.646399999999996,-46.646300000000004,-23.646399999999996
3279,97440,13,19,4,610.0,111.7,-46.646300000000004,-23.646399999999996,-46.646300000000004,-23.646399999999996
3280,97442,13,19,4,1578.4,257.1,-46.646300000000004,-23.646399999999996,-46.646300000000004,-23.646399999999996
3281,97576,13,19,4,5000.7,475.3,-46.60129999999999,-23.6014,-46.5863,-23.6014
3282,97577,16,19,4,3539.9,349.2,-46.5863,-23.6014,-46.60129999999999,-23.6014
3283,97579,16,23,4,7416.6,727.4,-46.6313,-23.646399999999996,-46.6613,-23.6014
3284,97581,13,22,4,7416.6,727.4,-46.6313,-23.646399999999996,-46.6613,-23.6014
3285,97804,13,18,4,2366.8,248.4,-46.6313,-23.661399999999997,-46.646300000000004,-23.646399999999996
3286,97816,12,18,4,5310.9,583.2,-46.6463,-23.6014,-46.646300000000004,-23.6314
3287,97817,16,19,4,5226.7,586.7,-46.646300000000004,-23.6314,-46.6613,-23.6014
3288,97859,14,19,4,5324.2,542.0,-46.646300000000004,-23.6314,-46.661300000000004,-23.616400000000002
3289,97863,14,18,4,5324.2,542.0,-46.646300000000004,-23.6314,-46.661300000000004,-23.616400000000002
3290,97865,14,18,4,2230.9,297.2,-46.646300000000004,-23.6314,-46.646300000000004,-23.646399999999996
3291,97867,14,18,4,4369.1,363.0,-46.6913,-23.6014,-46.691300000000005,-23.571399999999997
3292,97872,16,19,4,2230.9,297.2,-46.646300000000004,-23.6314,-46.646300000000004,-23.646399999999996
3293,97873,14,16,4,2140.0,258.0,-46.646300000000004,-23.646399999999996,-46.646300000000004,-23.6314
3294,97874,13,19,4,2230.9,297.2,-46.646300000000004,-23.6314,-46.646300000000004,-23.646399999999996
3295,97898,14,19,4,5633.8,644.2,-46.6313,-23.6314,-46.661300000000004,-23.6314
3296,97901,14,19,4,5633.8,644.2,-46.6313,-23.6314,-46.661300000000004,-23.6314
3297,97903,14,18,4,5633.8,644.2,-46.6313,-23.6314,-46.661300000000004,-23.6314
3298,98323,14,18,4,4163.5,405.1,-46.6313,-23.646399999999996,-46.646300000000004,-23.6314
3299,98379,13,18,4,2071.9,273.5,-46.661300000000004,-23.661399999999997,-46.67630000000001,-23.646399999999996
3300,98383,12,19,4,2071.9,273.5,-46.661300000000004,-23.661399999999997,-46.67630000000001,-23.646399999999996
3301,98387,12,17,4,2071.9,273.5,-46.661300000000004,-23.661399999999997,-46.67630000000001,-23.646399999999996
3302,98475,12,17,4,8580.9,893.3,-46.706300000000006,-23.6314,-46.661300000000004,-23.661399999999997
3303,99005,14,17,4,4142.4,375.9,-46.646300000000004,-23.6764,-46.661300000000004,-23.646399999999996
3304,99007,11,18,4,4142.4,375.9,-46.646300000000004,-23.6764,-46.661300000000004,-23.646399999999996
3305,99011,11,18,4,4142.4,375.9,-46.646300000000004,-23.6764,-46.661300000000004,-23.646399999999996
3306,99258,11,18,4,1939.9,206.5,-46.646300000000004,-23.6764,-46.646300000000004,-23.6764
3307,100174,11,18,4,5961.4,647.3,-46.691300000000005,-23.6314,-46.691300000000005,-23.661399999999997
