,index,i,j,elevation,distance,time,origin_x,origin_y,dest_x,dest_y
1920,124796,21,12,4,4923.7,598.2,-46.7363,-23.5564,-46.691300000000005,-23.571399999999997
1921,124826,18,13,4,1427.4,193.9,-46.706300000000006,-23.571399999999997,-46.706300000000006,-23.571399999999997
1922,124840,19,15,2,1960.6,199.8,-46.706300000000006,-23.571399999999997,-46.7213,-23.5714
1923,124847,19,16,2,3665.7,435.9,-46.7213,-23.5714,-46.691300000000005,-23.571399999999997
1924,124851,18,15,4,4202.3,545.7,-46.7213,-23.5714,-46.706300000000006,-23.571399999999997
1925,124853,18,14,2,4748.0,501.3,-46.7213,-23.5714,-46.706300000000006,-23.5564
1926,124854,18,16,4,2447.1,264.6,-46.706300000000006,-23.5564,-46.706300000000006,-23.571399999999997
1927,124897,18,15,4,3258.7,413.1,-46.7213,-23.5714,-46.706300000000006,-23.571399999999997
1928,124911,18,15,4,6443.6,461.3,-46.6913,-23.6014,-46.691300000000005,-23.5564
1929,124986,19,15,4,4572.2,417.0,-46.7363,-23.5564,-46.706300000000006,-23.571399999999997
1930,124997,18,15,4,6085.1,660.7,-46.7363,-23.5564,-46.7213,-23.586399999999998
1931,125193,16,16,4,5545.7,515.1,-46.7363,-23.5564,-46.706300000000006,-23.571399999999997
1932,125195,19,15,4,3843.1,454.8,-46.7213,-23.556399999999996,-46.706300000000006,-23.571399999999997
1933,125204,19,14,4,4622.2,423.8,-46.67630000000001,-23.5864,-46.706300000000006,-23.571399999999997
1934,125236,19,15,4,4609.8,498.6,-46.706300000000006,-23.5564,-46.691300000000005,-23.5414
1935,125360,19,15,4,3381.8,398.4,-46.7363,-23.5564,-46.706300000000006,-23.571399999999997
1936,125378,17,15,4,4565.6,432.2,-46.706300000000006,-23.571399999999997,-46.691300000000005,-23.5864
1937,125379,19,16,4,4040.4,424.0,-46.691300000000005,-23.5864,-46.706300000000006,-23.571399999999997
1938,125646,19,15,4,6124.5,551.3,-46.691300000000005,-23.5864,-46.7213,-23.5714
1939,125921,18,16,4,7481.8,852.9,-46.7363,-23.5564,-46.691300000000005,-23.571399999999997
1940,126020,17,15,4,11249.2,823.7,-46.7363,-23.5864,-46.691300000000005,-23.616400000000002
1941,126200,17,14,4,4491.7,453.0,-46.6313,-23.5864,-46.661300000000004,-23.5864
1942,129040,19,13,2,6973.9,748.4,-46.586299999999994,-23.526399999999995,-46.61630000000001,-23.5564
1943,132814,17,16,4,1808.2,206.8,-46.601299999999995,-23.5414,-46.601299999999995,-23.5414
1944,148574,17,16,4,4714.8,403.2,-46.571299999999994,-23.616400000000002,-46.586299999999994,-23.5864
1945,148669,21,18,4,4727.6,527.1,-46.571299999999994,-23.616400000000002,-46.60129999999999,-23.6014
1946,165357,20,21,4,2120.0,246.5,-46.67630000000001,-23.5564,-46.691300000000005,-23.571399999999997
1947,171050,15,22,4,5163.4,488.1,-46.706300000000006,-23.526399999999995,-46.661300000000004,-23.526399999999995
1948,171749,15,23,4,6677.7,561.3,-46.796299999999995,-23.526399999999995,-46.7363,-23.5564
1949,172037,19,22,4,7011.9,674.6,-46.7663,-23.5414,-46.7213,-23.5264
1950,172574,21,16,4,7365.7,714.5,-46.7663,-23.5564,-46.7363,-23.526399999999995
