NomeZona,media
Parque Palmas do Tremembe,28.72919181203627
Fazenda da Juta,29.597525900143935
Parque Savoy,30.884687481153584
Riviera,31.30315885116603
Vila Terezinha,31.45242915328223
Parque do Jaragua,33.46102210034829
Parada de Taipas,33.5486218012865
Parque Morro Doce,33.83677008683152
Perus,40.18389105650593
Cantareira,48.810023226248724
ETA Guarau,85.16507349606256
